campaign_id,campaign_name,advertiser_id,campaign_type,bid_strategy,daily_budget_usd,creative_variant,optimization_goal
CAMP_0001,Utilize Seamless Architectures — Video,ADV_0014,Performance Max,target_cpa,358.02,B,lead_generation
CAMP_0002,Syndicate Next-Generation Convergence — Display,ADV_0030,Video,target_roas,1803.1,B,direct_sales
CAMP_0003,Transition Synergistic E-Markets — Video,ADV_0002,Performance Max,maximize_conversions,4560.37,B,brand_awareness
CAMP_0004,Deliver Next-Generation Solutions — Shopping,ADV_0050,Video,target_cpa,12031.81,A,brand_awareness
CAMP_0005,Disintermediate Out-Of-The-Box Technologies — Search,ADV_0036,Display,target_roas,636.74,A,direct_sales
CAMP_0006,Expedite Global Synergies — Search,ADV_0036,Search,target_roas,1476.06,A,direct_sales
CAMP_0007,Reinvent Turn-Key Users — Search,ADV_0009,Search,target_roas,1663.11,A,direct_sales
CAMP_0008,Repurpose Transparent E-Commerce — Display,ADV_0005,Shopping,maximize_conversions,3532.78,A,brand_awareness
CAMP_0009,Utilize Scalable Convergence — Performance Max,ADV_0035,Shopping,target_cpa,5176.75,A,brand_awareness
CAMP_0010,Deliver Interactive Interfaces — Search,ADV_0045,Shopping,maximize_conversions,6215.33,B,brand_awareness
CAMP_0011,Scale Holistic E-Markets — Search,ADV_0022,Search,maximize_conversion_value,983.38,B,direct_sales
CAMP_0012,Streamline Ubiquitous Channels — Performance Max,ADV_0042,Performance Max,target_roas,1626.34,B,direct_sales
CAMP_0013,Leverage 24/7 Initiatives — Shopping,ADV_0048,Performance Max,maximize_conversions,12147.75,A,brand_awareness
CAMP_0014,Brand Cross-Media Technologies — Shopping,ADV_0034,Video,target_roas,837.35,A,direct_sales
CAMP_0015,Deliver Back-End Channels — Performance Max,ADV_0016,Performance Max,target_roas,586.8,B,direct_sales
CAMP_0016,Productize Bleeding-Edge Web-Readiness — Shopping,ADV_0024,Search,target_roas,1254.22,A,direct_sales
CAMP_0017,Redefine Integrated Solutions — Display,ADV_0026,Shopping,target_cpa,10988.55,B,brand_awareness
CAMP_0018,Enable Revolutionary Initiatives — Performance Max,ADV_0033,Display,target_cpa,711.45,A,lead_generation
CAMP_0019,Unleash Clicks-And-Mortar Vortals — Display,ADV_0011,Search,maximize_conversions,1682.26,B,brand_awareness
CAMP_0020,Drive Leading-Edge Relationships — Search,ADV_0007,Video,maximize_conversions,4875.72,A,brand_awareness
CAMP_0021,Drive Real-Time Action-Items — Video,ADV_0018,Search,maximize_conversions,17036.39,A,brand_awareness
CAMP_0022,Innovate Synergistic Mindshare — Search,ADV_0022,Video,maximize_conversion_value,1308.95,A,direct_sales
CAMP_0023,Expedite Revolutionary Bandwidth — Shopping,ADV_0023,Video,maximize_conversions,9161.56,B,brand_awareness
CAMP_0024,Repurpose Frictionless Vortals — Performance Max,ADV_0013,Display,target_cpa,9316.78,B,brand_awareness
CAMP_0025,Harness 24/365 Applications — Display,ADV_0039,Shopping,target_roas,1606.62,A,direct_sales
CAMP_0026,Synergize Mission-Critical Solutions — Shopping,ADV_0021,Video,target_roas,1249.88,A,direct_sales
CAMP_0027,Seize Out-Of-The-Box Initiatives — Video,ADV_0039,Performance Max,target_roas,1980.06,A,direct_sales
CAMP_0028,Engineer Dynamic Platforms — Search,ADV_0020,Performance Max,target_cpa,6277.45,A,brand_awareness
CAMP_0029,Deploy Synergistic Paradigms — Video,ADV_0013,Display,target_cpa,14021.2,A,brand_awareness
CAMP_0030,Leverage Integrated Networks — Search,ADV_0028,Performance Max,maximize_conversion_value,1802.29,A,direct_sales
CAMP_0031,Drive Compelling Paradigms — Video,ADV_0019,Performance Max,manual_cpc,901.53,A,lead_generation
CAMP_0032,Synthesize Leading-Edge Supply-Chains — Performance Max,ADV_0028,Display,maximize_conversion_value,2370.34,B,direct_sales
CAMP_0033,Exploit Clicks-And-Mortar Deliverables — Search,ADV_0021,Shopping,target_roas,1108.82,A,direct_sales
CAMP_0034,Envisioneer Revolutionary Platforms — Display,ADV_0037,Performance Max,target_cpa,1680.87,B,lead_generation
CAMP_0035,Visualize Best-Of-Breed Portals — Shopping,ADV_0047,Video,target_roas,1178.01,A,direct_sales
CAMP_0036,Reinvent Granular Paradigms — Search,ADV_0049,Performance Max,maximize_conversions,2651.14,B,brand_awareness
CAMP_0037,Monetize End-To-End Convergence — Shopping,ADV_0030,Performance Max,target_roas,711.85,B,direct_sales
CAMP_0038,Envisioneer Mission-Critical Action-Items — Display,ADV_0041,Performance Max,target_cpa,954.88,A,lead_generation
CAMP_0039,Repurpose Viral Functionalities — Video,ADV_0001,Shopping,target_cpa,18850.26,A,brand_awareness
CAMP_0040,Disintermediate Scalable Content — Performance Max,ADV_0011,Performance Max,maximize_conversions,4224.17,A,brand_awareness
CAMP_0041,Enable Global Convergence — Display,ADV_0044,Shopping,target_roas,1188.65,A,direct_sales
CAMP_0042,Deploy Dot-Com Initiatives — Performance Max,ADV_0025,Search,maximize_conversion_value,862.57,A,direct_sales
CAMP_0043,Cultivate Bleeding-Edge Deliverables — Performance Max,ADV_0011,Performance Max,target_cpa,4025.93,B,brand_awareness
CAMP_0044,Embrace Seamless Mindshare — Display,ADV_0033,Performance Max,maximize_conversions,716.63,A,lead_generation
CAMP_0045,Scale Distributed Partnerships — Display,ADV_0045,Display,target_cpa,9926.18,B,brand_awareness
CAMP_0046,Re-Contextualize Leading-Edge Eyeballs — Video,ADV_0027,Shopping,maximize_conversions,1340.59,B,lead_generation
CAMP_0047,Re-Intermediate Intuitive Architectures — Search,ADV_0045,Display,maximize_conversions,4936.83,B,brand_awareness
CAMP_0048,Unleash Revolutionary Paradigms — Search,ADV_0011,Video,maximize_conversions,2857.76,B,brand_awareness
CAMP_0049,Optimize Distributed Synergies — Video,ADV_0013,Video,target_cpa,7764.92,A,brand_awareness
CAMP_0050,Facilitate Next-Generation Roi — Search,ADV_0007,Shopping,target_cpa,4216.62,A,brand_awareness
CAMP_0051,Unleash Cross-Media Eyeballs — Shopping,ADV_0026,Search,target_cpa,20275.12,B,brand_awareness
